timestamp,machine_id,pressure_bar,temp_celsius,flow_lpm,vibration_x_g,vibration_y_g,pump_rpm,failure_mode,rul_hours,shift,day_of_week,last_maintenance_timestamp,downtime_hours,installation_date,last_filter_change_date
2024-02-01 00:00:00,HPU_01,119.36,50.73,84.21,0.3399,0.3399,1474.0,pump_wear,336.0,Night,3,2023-12-24 20:16:00,13.2,2023-03-13,2023-12-19
2024-02-01 00:01:00,HPU_01,117.36,50.75,89.74,0.1056,0.1056,1473.0,pump_wear,336.0,Night,3,2023-12-24 20:16:00,13.2,2023-03-13,2023-12-19
2024-02-01 00:02:00,HPU_01,116.87,50.84,88.08,0.1308,0.1308,1470.0,pump_wear,336.0,Night,3,2023-12-24 20:16:00,13.2,2023-03-13,2023-12-19
2024-02-01 00:03:00,HPU_01,116.82,51.62,85.94,0.1536,0.1536,1467.0,pump_wear,335.9,Night,3,2023-12-24 20:16:00,13.2,2023-03-13,2023-12-19
2024-02-01 00:04:00,HPU_01,118.67,51.0,89.91,0.1644,0.1644,1469.0,pump_wear,335.9,Night,3,2023-12-24 20:16:00,13.2,2023-03-13,2023-12-19
2024-02-01 00:05:00,HPU_01,114.86,51.02,89.06,0.05,0.05,1472.0,pump_wear,335.9,Night,3,2023-12-24 20:16:00,13.2,2023-03-13,2023-12-19
2024-02-01 00:06:00,HPU_01,116.39,50.06,86.67,0.1529,0.1529,1473.0,pump_wear,335.9,Night,3,2023-12-24 20:16:00,13.2,2023-03-13,2023-12-19
2024-02-01 00:07:00,HPU_01,116.3,50.95,88.47,0.124,0.124,1471.0,pump_wear,335.9,Night,3,2023-12-24 20:16:00,13.2,2023-03-13,2023-12-19
2024-02-01 00:08:00,HPU_01,118.3,51.29,88.22,0.0556,0.0556,1469.0,pump_wear,335.9,Night,3,2023-12-24 20:16:00,13.2,2023-03-13,2023-12-19
2024-02-01 00:09:00,HPU_01,117.87,51.29,89.74,0.1167,0.1167,1468.0,pump_wear,335.9,Night,3,2023-12-24 20:16:00,13.2,2023-03-13,2023-12-19
2024-02-01 00:10:00,HPU_01,116.0,51.35,87.64,0.0501,0.0501,1472.0,pump_wear,335.8,Night,3,2023-12-24 20:16:00,13.2,2023-03-13,2023-12-19
2024-02-01 00:11:00,HPU_01,114.68,51.17,84.92,0.2202,0.2202,1472.0,pump_wear,335.8,Night,3,2023-12-24 20:16:00,13.2,2023-03-13,2023-12-19
2024-02-01 00:12:00,HPU_01,116.4,50.74,86.66,0.1733,0.1733,1471.0,pump_wear,335.8,Night,3,2023-12-24 20:16:00,13.2,2023-03-13,2023-12-19
